iMS-100 ,5011628,2,2,2016/06/21,07:32:44, 4819,01:20:19,WAAA                            , -5.06350,+119.53064, +12, +12,ETY                             ,Observation is ended                                            ,  +0,1
07:30:47,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 24.69,47.62,  0.00, 24.55,  0.00,44.70,  0.00,  0.14, 2.92,BL Check OK                                                     
+5.0116280e+06,+0.0000000e+00,+5.6097800e+06,+1.0300000e+02,+5.3108570e+06,+0.0000000e+00,+3.6400000e+04,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00,+5.1124110e+06,+4.2000000e+01
+5.0116280e+06,+6.0000000e+01,+4.0070000e+01,+3.5000000e+01,+2.4969999e+01,-2.9999999e-02,-3.9939999e+01,-4.4930000e+01,-4.9980000e+01,-5.4990002e+01,-7.0000000e+01,-8.0010002e+01,-8.5040001e+01,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+5.0116280e+06,+6.8560898e-01,+1.2911000e+00,+1.5366000e+00,+2.2035201e+00,+5.9762602e+00,+4.1826302e+01,+5.5237099e+01,+7.3905800e+01,+9.9483101e+01,+2.5506200e+02,+4.8719800e+02,+6.6743402e+02,+0.0000000e+00,+0.0000000e+00,+0.0000000e+00
+5.0116280e+06,-3.3158000e+03,+5.0867100e+03,-2.3515100e+03,+3.4181699e+02,-3.0505430e+01,+9.0640137e+01,+2.5238948e+00,-1.8497969e-01,+4.1416399e-07,+2.8315801e-04,+3.3451901e-03,+0.0000000e+00,+0.0000000e+00,+3.0000000e+00,+0.0000000e+00
 ObsTime,DCnt,ST,RE,SondeN, FCnt,AGC,  rcvFREQ,WM,   WD,    WS, Height, Xdistanc, Ydistanc,GF,HDP, PDP,GeodetLat, GeodetLon,V,Press0,Temp0,Humi0,  FE,   FRT,   FTI,   FVH,   FVL,  FSP1,  FSP2,  FSP3,  FSP4,N,N1,N2,N3,N4,N5,N6,N7,N8
07:32:44,    0,7,0,5011628,  400,  0,404.20648,1,  0.00,  0.00,   12.0,      0.0,      0.0,4, 0.0, 0.8, -5.06350, 119.53064,0,1009.0, 25.0, 89.0,0000,364.99,  0.00,327.82,356.39,  0.00,  2.10,222.11,  0.00,10,10,14,16,21,22,26,27,31
07:32:45,    2,7,0,5011628,  402,  0,404.20648,1,351.29,  0.08,   12.0,     -1.4,     -7.6,4, 0.0, 0.8, -5.06357, 119.53063,0,1009.0, 25.7, 82.0,0000,364.99,  0.00,327.77,356.38,  0.00,  0.00,  0.00,  0.00,10,10,14,16,21,22,26,27,31
07:32:46,    4,7,0,5011628,  404,  0,404.20648,1,351.29,  0.11,   12.0,     -1.4,     -7.6,4, 0.0, 0.8, -5.06357, 119.53063,0,1009.0, 26.1, 82.1,0000,364.99,  0.00,327.77,356.38,  0.00,  2.10,221.94,  0.00,10,10,14,16,21,22,26,27,31
07:32:47,    6,7,0,5011628,  406,  0,404.20648,1,351.29,  0.09,   12.0,     -1.4,     -7.7,4, 0.0, 0.8, -5.06357, 119.53063,0,1009.0, 26.1, 83.6,0000,364.99,  0.00,327.82,356.40,  0.00,  0.00,  0.00,  0.00,10,10,14,16,21,22,26,27,31
07:32:48,    8,7,0,5011628,  408,  0,404.20648,1,351.29,  0.13,   12.0,     -1.4,     -7.9,4, 0.0, 0.8, -5.06357, 119.53063,0,1009.0, 26.1, 82.9,0000,364.99,  0.00,327.82,356.40,  0.00,  2.10,221.71,  0.00,10,10,14,16,21,22,26,27,31
07:32:49,   10,7,0,5011628,  410,  0,404.20648,1, 30.87,  0.12,   11.9,     -1.4,     -8.1,4, 0.0, 0.8, -5.06357, 119.53063,0,1009.0, 25.9, 81.8,0000,364.99,  0.00,327.81,356.40,  0.00,  0.00,  0.00,  0.00,10,10,14,16,21,22,26,27,31
07:32:50,   12,7,0,5011628,  412,  0,404.20648,1,  7.59,  0.21,   12.3,     -1.4,     -8.1,4, 0.0, 0.8, -5.06357, 119.53063,0,1009.0, 25.9, 82.2,0000,364.99,  0.00,327.81,356.40,  0.00,  2.10,221.48,  0.00,10,10,14,16,21,22,26,27,31
07:32:51,   14,7,0,5011628,  414,  0,404.20648,1,301.93,  0.65,   13.7,     -1.4,     -8.1,4, 0.0, 0.8, -5.06357, 119.53063,0,1008.8, 25.8, 82.9,0000,364.99,  0.00,327.75,356.40,  0.00,  0.00,  0.00,  0.00,10,10,14,16,21,22,26,27,31
07:32:52,   16,7,0,5011628,  416,  0,404.20648,1, 49.34,  0.20,   15.8,     -1.4,     -7.9,4, 0.0, 0.8, -5.06357, 119.53063,0,1008.6, 25.7, 82.0,0000,364.99,  0.00,327.75,356.40,  0.00,  2.10,221.33,  0.00,10,10,14,16,21,22,26,27,31
07:32:53,   18,7,0,5011628,  418,  0,404.20648,1,145.67,  0.45,   18.3,     -1.4,     -7.6,4, 0.0, 0.8, -5.06357, 119.53063,0,1008.3, 25.5, 80.1,0000,364.99,  0.00,327.77,356.38,  0.00,  0.00,  0.00,  0.00,10,10,14,16,21,22,26,27,31
07:32:54,   20,7,0,5011628,  420,  0,404.20648,1,124.22,  0.32,   21.3,     -1.4,     -7.9,4, 0.0, 0.8, -5.06357, 119.53063,0,1007.9, 25.4, 78.3,0000,364.99,  0.00,327.77,356.38,  0.00,  2.10,221.06,  0.00,10,10,14,16,21,22,26,27,31
07:32:55,   22,7,0,5011628,  422,  0,404.20648,1,104.56,  0.83,   24.7,     -2.9,     -7.9,4, 0.0, 0.8, -5.06357, 119.53061,0,1007.5, 24.8, 76.7,0000,364.99,  0.00,327.80,356.35,  0.00,  0.00,  0.00,  0.00,10,10,14,16,21,22,26,27,31
07:32:56,   24,7,0,5011628,  424,  0,404.20648,1,114.08,  0.88,   28.4,     -1.4,     -8.5,4, 0.0, 0.8, -5.06358, 119.53063,0,1007.1, 25.2, 76.3,0000,364.99,  0.00,327.80,356.35,  0.00,  2.10,220.79,  0.00,10,10,14,16,21,22,26,27,31
07:32:57,   26,7,0,5011628,  426,  0,404.20648,1, 91.41,  1.07,   32.3,      3.1,     -9.0,4, 0.0, 0.8, -5.06358, 119.53067,0,1006.7, 25.2, 76.7,0000,364.99,  0.00,327.80,356.31,  0.00,  0.00,  0.00,  0.00,10,10,14,16,21,22,26,27,31
07:32:58,   28,7,0,5011628,  428,  0,404.20648,1, 88.11,  1.48,   36.4,      6.0,    -10.0,4, 0.0, 0.8, -5.06359, 119.53069,0,1006.2, 25.2, 76.7,0000,364.99,  0.00,327.80,356.31,  0.00,  2.10,220.71,  0.00,10,10,14,16,21,22,26,27,31
